params,return,win_rate,trades,params_str
"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}",-20.365598118249835,61.81015452538632,906,"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 30}",-21.305169102699786,61.757990867579906,876,"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}",-21.377933761399763,63.60544217687075,882,"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 30}",-21.57606607414964,63.05506216696269,1126,"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 30}",-21.944610905149847,60.367892976588635,598,"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}",-22.651489333249806,62.39554317548747,1077,"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 30}",-24.858403039999814,61.63342830009497,1053,"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 40}",-27.014832015149803,61.96078431372549,765,"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 30}",-27.263318388799828,59.240924092409244,606,"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 30}",-29.089407727099807,63.1154879140555,1117,"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}",-29.800203419749856,61.88850967007964,879,"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 40}",-31.29216263434993,60.03372681281619,593,"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 40}",-31.454942702349868,60.17241379310345,580,"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}",-31.704134633999693,62.75787187839305,921,"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}",-31.936430480299887,60.9129814550642,701,"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 30}",-31.95442644029981,62.33183856502242,892,"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 30}",-32.129703430699855,59.29878048780488,656,"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 40}",-33.85745824494985,61.80081855388813,733,"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}",-33.91065988709976,63.00236406619385,846,"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}",-35.51533789439987,60.40688575899843,639,"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 30}",-36.694247909549894,58.88324873096447,591,"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}",-36.73822490624985,62.44541484716157,687,"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 30}",-37.231363924499924,59.3192868719611,617,"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 40}",-37.52046747914981,62.53443526170799,1089,"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 30}",-38.391000758599844,60.864197530864196,810,"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}",-39.484073242999926,58.81057268722467,454,"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 30}",-39.64478629999977,61.2691466083151,914,"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 30}",-40.458542441349834,60.887656033287094,721,"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 30}",-41.410538474449815,58.51851851851851,675,"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 30}",-43.044403649249745,61.96120689655172,928,"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 30}",-43.222201210799795,60.72351421188631,774,"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 30}"
