BuyDate,SellDate,Name,Ticker,BuyPrice,SellPrice,Shares,PnL_Amount,PnL_Pct,HoldingDays,BuyRSI,SellRSI
2014-04-21,2014-06-30,NHN KCP,060250.KQ,4822.2412109375,3814.6083984375,43632,-44731282.337760955,-21.235287540572383,70,29.206039098775065,76.71613893682516
2015-11-25,2016-01-19,제주반도체,080220.KQ,6190.0,5110.0,39983,-44109845.345,-17.802063975378232,55,32.27759125083166,70.88226829271045
2014-08-21,2014-10-21,포스코엠텍,009520.KQ,3510.991455078125,2852.680419921875,65342,-43866346.65198144,-19.098977574873146,61,32.53243365263654,80.71777769800701
2023-09-11,2023-10-17,솔브레인홀딩스,036830.KQ,32513.740234375,30595.376953125,21044,-43185013.6172359,-6.304326315650063,36,23.156783573213787,74.26707416990938
2015-10-05,2015-12-18,SFA반도체,036540.KQ,3090.0,2550.0,77900,-42968549.400000006,-17.83017491050341,74,27.898604817578473,70.89737485103105
2018-07-06,2018-08-31,하나머티리얼즈,166090.KQ,21755.650390625,18759.638671875,13792,-42481064.39488748,-14.141546908247943,56,24.037685243784694,70.92903504854365
2019-04-15,2019-06-13,엘앤씨바이오,290650.KQ,8917.9130859375,7941.5,40778,-41254466.911200464,-11.331376529369,59,22.334614341566194,73.96495270598594
2023-08-08,2023-10-11,솔브레인,357780.KQ,247826.34375,232306.875,2489,-41158690.66118908,-6.664844674954685,64,22.053676302623998,70.63909573661303
2021-01-14,2021-03-16,에스티팜,237690.KQ,86978.3828125,81016.953125,6456,-40780345.53338444,-7.253989110029179,61,23.660718931668,77.75215724810667
2024-01-04,2024-02-15,위메이드,112040.KQ,56600.0,53900.0,13655,-40075718.12499988,-5.179335283858178,42,20.152902607813232,70.16410427100033
2023-09-11,2023-10-11,이오테크닉스,039030.KQ,153531.515625,145232.515625,4456,-39805642.58098757,-5.811694381461014,30,28.85105669066506,72.26850670450699
2022-11-30,2023-02-01,씨젠,096530.KQ,27311.798828125,25252.048828125,18030,-39137766.47997069,-7.938726759307596,63,30.764708152656283,73.25973543240173
2013-08-02,2013-10-25,케이엠더블유,032500.KQ,12400.0,9925.0,15339,-38662313.80124998,-20.303455461702903,84,26.81925789995303,70.08973453345196
2015-04-14,2015-06-10,위메이드맥스,101730.KQ,26900.0,23100.0,9699,-37861986.30000001,-14.495226400420192,57,28.05841604212044,70.09392953049449
2012-08-21,2012-11-22,테크윙,089030.KQ,2549.8330078125,1901.340087890625,57208,-37609365.80741455,-25.753031236208024,93,26.52573912541098,74.21823107435209
2020-08-12,2020-09-04,레이크머티리얼즈,281740.KQ,2396.88037109375,2197.5556640625,179830,-37585084.98259884,-8.709793966950928,23,24.847868295144465,74.90484293313955
2023-04-12,2023-05-17,성일하이텍,365340.KQ,154000.0,143400.0,3339,-37492996.589999974,-7.283059546456635,35,27.015850084532303,76.04578396692153
2019-09-06,2019-10-31,대주전자재료,078600.KQ,20554.365234375,18364.552734375,16431,-37319703.37177324,-11.037506352008656,55,32.48883595601268,73.28795173766949
